word,count
پخش,261
لر,261
خش,261
نداد,261
هرکسی,260
درستش,260
چایی,260
سودا,260
علیرضا,259
توپر,259
آوین,259
سیشتیر,258
دیونه,258
og,258
هروقت,257
چوخ,257
کردین,257
جهنم,257
هفت,257
بپرسم,257
ظاهر,257
پریا,257
ایشون,256
سنگ,256
13,255
بنداز,255
میخاستم,255
دیگس,255
اینجام,255
تن,255
فدام,255
نگی,255
بات,255
چراا,255
خابم,255
دنیای,255
نمیبینی,254
ترس,254
بفرما,254
ترو,254
نوع,254
دریا,254
وصل,254
لحاظ,253
چیزایی,253
استغفرالله,253
چندسالته,253
ارههه,253
معذرت,253
عهه,252
اوضاع,252
حرفای,252
اذیتت,252
اذیتش,252
نازه,252
پیداش,251
کصشعر,251
نمیخورم,251
اخرش,251
داف,251
خرید,251
روزگار,250
شکلات,250
بکشه,250
میزاره,250
خوبین,249
نمیخوای,249
حالی,248
قسم,248
پات,248
عشقه,248
بغلم,248
دراز,248
گیری,247
براتون,247
قلبت,247
میخورن,247
هوس,247
بیشتره,247
ساری,246
آهان,246
بهتری,246
صداش,246
بنظرت,246
چالش,246
ترسناک,245
ابد,245
خبرا,245
عرض,245
شیش,245
برد,245
گه,245
وات,245
کیا,244
شون,244
نکرد,243
اتفاق,243
همینطوری,243
میاری,243
خودشم,243
فوتبال,243
میکنین,243
براشون,243
اکس,243
گذاشتن,243
برین,243
نهه,243
دای,243
تکرار,243
اینجوریه,242
میشناسم,242
کشور,242
بارون,242
میشناسی,242
مظلوم,242
امار,242
عطار,242
همونی,241
برن,241
کمر,241
نزنید,241
منکه,241
خاب,241
بشیم,241
نداشتی,241
خداحافظ,241
خاموش,240
اونه,240
خدای,240
یو,240
ش,240
عااا,239
بگیرن,239
خوشحالم,239
تون,239
دیوث,239
وار,238
معتاد,238
جدیدا,238
بهتون,238
خخخ,237
دوستت,237
سرچ,237
زوده,237
بخوریم,237
فعال,237
همونه,237
بیتربیت,236
پیتزا,236
17,236
جهت,236
حسی,236
نماز,236
زنی,235
اینکارو,235
دیلیت,235
بیکاری,235
هوی,234
اصا,234
میخواست,234
لا,234
عذاب,234
قضاوت,234
وضعیت,234
نخوردم,233
برامون,233
کننده,233
نمیبینم,233
احترامی,233
چشمم,233
باحاله,233
مشکلات,233
سین,232
نزنه,232
هااا,232
ربط,232
زنش,232
پام,232
غیرتی,232
سالی,232
بیاره,232
مردی,232
طاها,231
میومد,231
ددی,231
تمیز,231
شات,231
آی,230
ماست,230
نشستم,230
نکنین,230
PARY1AM,230
مجبور,229
ترجیح,229
دقیقاً,229
بهونه,229
مزاحم,229
کولر,229
دقیق,229
نمیای,229
شهریور,229
نمیزنه,229
ذهنم,229
شمام,229
لیس,229
گوز,228
میزاری,228
چیش,228
خودشه,228
همینم,228
خوشمزه,228
ندی,228
سیر,228
کونش,228
اید,228
ریش,227
لاغر,227
عقده,227
علیک,227
پیویت,227
ضرر,227
سوار,227
دندون,227
عرفان,226
گو,226
حرفم,226
